image,Born,Person,description,occupation,position held,country of citizenship,given name,UpdatedAt
,1997-05-07,Kamila Bobr,Belarus athlete (*1997) ♀,athlete,,Belarus,Kamila,2020-05-07
,1997-05-07,Mohammad Hossein Babagoli,Iranian association football player,association football player,,Iran,Mohammad,2020-05-07
,1997-05-07,Johan Salomon,Norwegian chess player,chess player,,Norway,Johan,2020-05-07
,1997-05-07,Darnell McIntosh,English rugby league footballer,rugby league player,,,,2020-05-07
,1997-05-07,Harry Dearden,cricketer,cricketer,,United Kingdom,Harry,2020-05-07
,1997-05-07,Rika Rositawati,badminton player,badminton player,,Indonesia,,2020-05-07
,1997-05-07,Oleksandr Pikhalyonok,association football player,association football player,,Ukraine,,2020-05-07
,1997-05-07,Adam Bergmark Wiberg,association football player,association football player,,,Adam,2020-05-07
,1997-05-07,Magdalena Klatka,Polish pair skater,figure skater,,,Magdalena,2020-05-07
,1997-05-07,Vincent Regeling,association football player,association football player,,Kingdom of the Netherlands,Vincent,2020-05-07
,1997-05-07,Aleix Gómez,Spanish handball player,handball player,,Spain,Aleix,2020-05-07
,1997-05-07,Darcy Swain,Australian rugby union player (1997-),rugby union player,,Australia,,2020-05-07
,1997-05-07,David Čapek,association football player,association football player,,,David,2020-05-07
,1997-05-07,Settawut Wongsai,association football player,association football player,,Thailand,,2020-05-07
,1997-05-07,Carlü Sadie,South African rugby union footballer (1997-),rugby union player,,,,2020-05-07
,1997-05-07,Jhon Montaño,association football player,association football player,,Colombia,,2020-05-07
,1997-05-07,Harrison Allan,New Zealand rugby union player (1997-),rugby union player,,New Zealand,,2020-05-07
,1997-05-07,Sean Hjelle,baseball player (1997-),baseball player,,,Sean,2020-05-07
,1997-05-07,Rico Nasty,American rapper,singer,,,,2020-05-07
,1997-05-07,Jamuna Boro,boxer,boxer,,India,,2020-05-07
,1997-05-07,Steve Kroll,German association football player (1997-),association football player,,Germany,Steve,2020-05-07
,1997-05-07,Andrew Kuhn,South African rugby union footballer (1997-),rugby union player,,,Andrew,2020-05-07
,1997-05-07,Ilunga Mukendi,South African rugby union footballer (1997-),rugby union player,,,,2020-05-07
,1997 1997-05-07,Nicolás Eduardo Baeza Martínez,Chilean association football player,association football player,,Chile,,2020-05-07
,1997-05-07,Nimesh Vimukthi,Sri Lankan cricketer,cricketer,,,,2020-05-07
,1997-05-07,Cole Keith,Rugby union player (*1997) ♂,rugby union player,,,,2020-05-07
,1997-05-07,Kavindu Bandara,Cricketer (*1997) ♂,cricketer,,,,2020-05-07
,1997-05-07,Aisam Ibrahim,association football player (*1997) ♂,association football player,,,,2020-05-07
